radiant_win,avg_mmr,duration,Radiant_is_Melle,Radiant_primary_attr_agi,Radiant_primary_attr_int,Radiant_primary_attr_str,Radiant_Nuker,Radiant_Disabler,Radiant_Initiator,Radiant_Durable,Radiant_Support,Radiant_Jungler,Radiant_Carry,Radiant_Pusher,Radiant_Escape,Dire_is_Melle,Dire_primary_attr_agi,Dire_primary_attr_int,Dire_primary_attr_str,Dire_Nuker,Dire_Disabler,Dire_Initiator,Dire_Durable,Dire_Support,Dire_Jungler,Dire_Carry,Dire_Pusher,Dire_Escape
1,3439,1649,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
1,3311,1951,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
0,4621,1818,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
0,3750,1808,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
0,3871,1770,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
1,4221,1937,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
0,3584,1237,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
1,3208,1753,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
0,3711,1745,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
0,3382,2008,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
1,3571,1576,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
0,5304,1890,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
0,5504,1950,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
1,3342,1945,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
